cáp_sạc free size nên ai khung ng to mặc không đẹp lắm	214	0	Electronics	1	0
nhưng ngăn_kéo khóa ít	427	0	Electronics	1	0
áo chất cứng	711	0	Fashion	1	0
nhưng áo bị bung chỉ nhiều	726	0	Fashion	1	0
form rất to lùng_bùng như trùm cái mền	769	0	Fashion	1	0
có báo làm_việc lại nhưnh chưa thấy chốt lại giao bổ_sung hay sao cả	784	0	Ship	1	0
mua 5 áo mà 4 chất khác nhau	930	0	Fashion	1	0
quần bị thủng túi	986	0	Fashion	1	0
quảng_cáo quá nhiều không bấm nhưng lúc_nào cũng hiện vào app	1181	0	App	1	0
chuột chưa được ưng cho lắm	1368	0	Electronics	1	0
Không nên mua. Thỉnh thoảng bị thoát ứng dụng . Cảm ứng k chuẩn. Vào các ứng dụng thì chậm	1409	0	App	1	0
giờ lừa_đảo nhiều ứng_dụng gì bắt bấm vào link qua tin nhắn_vớ vẫn	1760	0	App	1	0
nhưng nhà_hàng làm_việc rất chán	2192	0	General	1	0
bắt đăng_nhập lằng nhà lằng_nhằng nói_chung phần_mềm như khấc	2318	0	App	1	0
quảng_cáo nhiều xóa ứng_dụng	2613	0	App	1	0
ghét cái ứng_dụng quảng_cáo vớ vẩn	2833	0	App	1	0
áo thì chật , được vải mềm không gọng như hình , có mùi hắc	2930	0	Fashion	1	0
ứng_dụng rác à_tải về đki tk xong khóa tài_khoản của ngta luôn	3090	0	App	1	0
áo mặc chật lưng nhưng cúp ngực bè ngang không ôm sát	3147	0	Fashion	1	0
áo chất thô_ráp	3155	0	Fashion	1	0
bề ngang áo chật	3461	0	Fashion	1	0
ứng_dụng mua_sắm như cc	3766	0	App	1	0
tài_khoản mới sdt mới báo hoạt_động bất_thường không cho mua mẹ tụi mày dẹp app đi	3791	0	App	1	0
ứng_dụng cứ hiện lên màn_hình bắt vào thoát ra 1 lúc sau lại tiếp_tục	3934	0	App	1	0
áo đen vải rất cứng và đơ không mặt được	3976	0	Fashion	1	0
cái váy khá chật	4306	0	Fashion	1	0
ứng_dụng cực_kì lag	4313	0	App	1	0
ứng_dụng éo gì lag vl	4435	0	App	1	0
áo form nhỏ , cứng , không êm	4870	0	Fashion	1	0
cho voucher mà sử_dụng toàn bị hủy	4991	0	Price	1	0
app ky_bo nhất từng thấy	5051	0	App	1	0
quảng_cáo quá nhiều không bấm nhưng lúc_nào cũng hiện vào ứng_dụng	5057	0	App	1	0
ứng_dụng quá lag vào là bị văng ra không_thể sử_sụng được	5102	0	App	1	0
bấm phần_mềm nào cũng hiện link ht	5303	0	App	1	0
quảng_cáo khắp mọi nơi từ youtube tới tiktok tới chơi game cũng thấy ghét xóa app	5437	0	App	1	0
bắt đăng_nhập lằng nhà lằng_nhằng nói_chung app như khấc	5460	0	App	1	0
chưa sài phần_mềm này bao h	5844	0	App	0	2
cứ bắt_cập_nhật ứng_dụng liên_tục cứ mở lên là có trong khi tôi đã cập_nhật rồi	6010	0	App	1	0
mọi người đừng ai mua của shop này kẻo bị mắc_lừa như tôi	6264	0	Service	1	0
nguyên một ổ lừa_đảo mn đừng dùng app này	6271	0	App	1	0
ứng_dụng như quần_què họ	6651	0	App	1	0
bấm ứng_dụng nào cũng hiện link ht	6993	0	App	1	0
app khó dùng phiền_phức	7069	0	App	1	0
t bị vô ứng_dụng hoài_phiền chết	7181	0	App	1	0
bị khóa tài_khoản lần đầu dùng app	7415	0	App	1	0
nhưng quần chật quá	7497	0	Fashion	1	0
